Brawl Pass: Brawl Pass Income
Brawl Pass;Free;Regular;Plus;1 Tail reward;;
Coins;12500;22000;25000;50;;
Power Points;3600;6100;7600;20;;
Credits;1400;3900;3900;20;;
Bling;200;3400;4900;20;;
Gems;50;100;200;0;;
Brawler Key;0;1;2;0;;
Resource Key;1;2;3;0;;
Buffie Key;0;0;1;0;;
Starr Drop;18;0;0;0;;
Epic Drop;0;0;0;0;;
Mythic Drop;0;0;0;0;;
Legendary Drop;1;0;0;0;;
Chaos Drop;6;0;0;0;;
Hypercharge Drop;0;0;0;0;;
Ranked Drop;0;0;0;0;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Cost;0,00 €;6,49 €;9,99 €;0,00 €;;
Time (days);30,4;30,4;30,4;30,4;;
Daily Coins Income;535;756;921;2;;
Daily Power Points Income;221;365;579;1;;
Daily Credits Income;62;159;191;1;;
Daily Bling Income;7;112;161;1;;

Ranked Pass: Ranked Pass Income
Brawl Pass;Free;Pro;Tail;
Coins;0;10000;0;
Power Points;0;0;0;
Credits;0;0;0;
Bling;0;0;0;
Gems;50;650;0;
Brawler Key;0;0;0;
Resource Key;0;0;0;
Buffie Key;0;0;0;
Starr Drop;0;0;0;
Epic Drop;0;0;0;
Mythic Drop;8;8;0;
Legendary Drop;8;8;1;
Chaos Drop;0;0;0;
Hypercharge Drop;1;1;0;
Ranked Drop;34;34;0;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Cost;0,00 €;17,99 €;0,00 €;
Time (days);91,3;91,3;91,3;
Daily Coins Income;73;248;1;
Daily Power Points Income;8;74;0;
Daily Credits Income;2;2;0;
Daily Bling Income;37;37;0;

Daily Play: Daily Play Income
Daily play;Casual;Active;;
Coins;20,0;;;
Power Points;15,0;;;
Credits;5,0;;;
Bling;0,0;;;
Gems;0,0;;;
Brawler Key;0,0;;;
Resource Key;0,0;;;
Buffie Key;0,0;;;
Starr Drop;5,0;;;
Epic Drop;0,0;;;
Mythic Drop;0,0;;;
Legendary Drop;0,0;;;
Chaos Drop;1,0;;;
Hypercharge Drop;0,0;;;
Ranked Drop;0,0;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Cost;0,00 €;;;
Time (days);1;;;
Daily Coins Income;696,2;;;
Daily Power Points Income;143,2;;;
Daily Credits Income;101,5;;;
Daily Bling Income;0;;;


Event Play: Daily Play Income
Daily play;Casual;Active;;
Coins;24000,0;;;
Power Points;18000,0;;;
Credits;10000,0;;;
Bling;2000,0;;;
Gems;100,0;;;
Brawler Key;0,0;;;
Resource Key;0,0;;;
Buffie;6,0;;;
Starr Drop;0,0;;;
Epic Drop;0,0;;;
Mythic Drop;0,0;;;
Legendary Drop;0,0;;;
Chaos Drop;0,0;;;
Hypercharge Drop;0,0;;;
Ranked Drop;0,0;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Cost;0,00 €;;;
Time (days);365;;;
Daily Coins Income;84,9315068493151;;;
Daily Power Points Income;84,9315068493151;;;
Daily Credits Income;27,3972602739726;;;
Daily Bling Income;5,47945205479452;;;


Mega Pig: Daily Play Income
Daily play;Free;;;
Coins;0;;;
Power Points;0;;;
Credits;0;;;
Bling;0;;;
Gems;0;;;
Brawler Key;0;;;
Resource Key;0;;;
Buffie Key;0;;;
Starr Drop;20;;;
Epic Drop;0;;;
Mythic Drop;0;;;
Legendary Drop;0;;;
Chaos Drop;0;;;
Hypercharge Drop;0;;;
Ranked Drop;0;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Cost;0,00 €;;;
Time (days);30,4;;;
Daily Coins Income;46;;;
Daily Power Points Income;9;;;
Daily Credits Income;6;;;
Daily Bling Income;0;;;


ValueTransfer: Value Transfers
;Coins;Power Points;Credits;Bling;
Coins;1;0;0;0;
Power Points;0;1;0;0;
Credits;0;0;1;0;
Bling;0;0;0;1;
Gems;10;10;0;0;
Brawler Key;0;0;950;0;
Resource Key;0;2000;0;0;
Buffie (or Key);1000;2000;0;0;
Starr Drop;70;14;9;0;
Epic Drop;70;14;9;0;
Mythic Drop;70;14;9;0;
Legendary Drop;70;14;9;0;
Chaos Drop;324;59;53;0;
Hypercharge Drop;5000;0;0;0;
Ranked Drop;0;0;0;100;


Total daily income: Total daily income
;;;;
Coins;1435;;;
Power Points;466;;;
Credits;198;;;
Bling;49;;;
